playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2553733","null","Thomas Rawls","RB","SEA","RB","SEA","null","9.5899","null","null","null","23","null","null","0.3036","null","null","null","10.0427","7.32","5.5043","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","9.5277","null","null","null","18","null","null","0.3729","null","null","null","10.3735","6.6","5.7749","null",
"2533056","null","Luke Kuechly","LB","CAR","LB","CAR","null","9.4474","null","null","null","1","null","null","0.1638","null","null","null","9.6277","9.2","null","null",
"2532828","null","Lavonte David","LB","TB","LB","TB","null","9.3823","null","null","null","2","null","null","0.4423","null","null","null","9.661","9","null","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","9.2995","null","null","null","19","null","null","0.2986","null","null","null","10.4061","6.4","3.7495","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","9.2886","null","null","null","24","null","null","0.0341","null","null","null","10.0414","6.2","6.3777","null",
"2552471","null","T.J. Yeldon","RB","JAC","RB","JAC","null","9.2842","null","null","null","25","null","null","0.1377","null","null","null","12.3364","2","8.7091","null",
"2552635","null","Matt Jones","RB","WAS","RB","WAS","null","9.2248","null","null","null","26","null","null","0.2196","null","null","null","11.123","6.38","6.3414","null",
"2506353","null","Derrick Johnson","LB","KC","LB","KC","null","9.1849","null","null","null","3","null","null","0.5011","null","null","null","9.2833","9.05","null","null",
"2553833","null","Josh Lambo","K","SD","K","SD","null","9.1194","null","null","null","10","null","null","0.5168","null","null","null","11.5279","6.1","8.1147","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","9.0681","null","null","null","27","null","null","0.2796","null","null","null","9.717","7.6","4.0844","null",
"2540160","null","Jordan Reed","TE","WAS","TE","WAS","null","9.0204","null","null","null","1","null","null","0.4436","null","null","null","9.535","6.312","7.3649","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","9.0101","null","null","null","20","null","null","0.1247","null","null","null","9.8503","5.8","7.3964","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","null","8.9918","null","null","null","21","null","null","0.2209","null","null","null","9.9597","5.5","4.1519","null",
"79555","null","Arian Foster","RB","MIA","RB","MIA","null","8.9423","null","null","null","28","null","null","0.3884","null","null","null","10.0726","5.1","7.2908","null",
